updated_at_utc,latest_nav_date,latest_trade_date,latest_signal_date,final_nav,sharpe,total_return,positions_rows,time
2026-04-10 00:44:43 UTC,2026-03-23,2026-03-30,2026-03-23,701215.515520029,1.3068840782385835,6.01215515520029,13261.0,
,2026-04-09,,,,,,,2026-04-10 02:26:11
2026-04-10 09:00:29 UTC,2026-04-09,2026-04-09,2026-04-09,701916.731035549,0.7787834009363706,6.23625495912937,13261.0,
2026-04-10 09:16:26 UTC,2026-04-09,2026-04-09,2026-04-09,277369.8220182316,0.2500310077520572,1.859482701218882,13261.0,
2026-04-10 12:09:24 UTC,2026-04-09,2026-04-09,2026-04-09,277369.8220182316,0.2500310077520572,1.859482701218882,13261.0,
,2026-04-09,,,,,,,2026-04-10 14:33:10
2026-04-10 14:33:44 UTC,2026-04-09,2026-04-09,2026-04-09,97164.25612624505,0.3479063982576238,0.0016933621262376,13261.0,
2026-04-11 11:47:59 UTC,2026-04-09,2026-04-09,2026-04-09,97005.20829442194,0.2500310077520572,5.369375692731992e-05,973.0,
2026-04-11 11:50:42 UTC,2026-04-10,2026-04-10,2026-04-10,97005.20829442194,0.2499999999999999,5.369375692731992e-05,973.0,
2026-04-12 11:52:05 UTC,2026-04-10,2026-04-10,2026-04-10,97005.20829442194,0.2499999999999999,5.369375692731992e-05,973.0,
,2026-04-11,,,,,,,2026-04-12 11:54:24
2026-04-12 12:00:05 UTC,2026-04-11,2026-04-11,2026-04-11,97102.21350271636,0.2630154098372037,0.0010537474506842,973.0,
2026-04-13 15:05:45 UTC,2026-04-11,2026-04-11,2026-04-11,97102.21350271636,0.2630154098372037,0.0010537474506842,973.0,
,2026-04-12,,,,,,,2026-04-13 15:06:16
2026-04-14 15:04:26 UTC,2026-04-12,2026-04-12,2026-04-11,97199.31571621906,,,973.0,
2026-04-15 14:55:16 UTC,2026-04-14,2026-04-12,2026-04-11,97199.31571621906,,,973.0,
