signal_date,trade_date,candidate_rows,after_mom_na,after_mom_threshold,after_no_chase,after_vol_contract,after_next_day,selected_count,avg_mom_5d,avg_std_5d,daily_ret,capital,cash_mode
2026-01-16,2026-01-19,263,261,18,7,3,3,3,0.298368377744808,0.03535903441225063,0.04269224954234022,104269.22495423403,False
2026-01-19,2026-01-20,263,263,23,8,4,4,4,0.1922896410038431,0.03684327307909642,0.003650461462749055,104649.85574168018,False
2026-01-20,2026-01-21,263,263,24,16,8,8,8,0.2213644851753243,0.033683268275484395,-0.03624442484157073,100856.88191056963,False
2026-01-21,2026-01-22,264,263,13,8,4,4,4,0.32023778866112435,0.04750749122089194,-0.04859104414238316,95956.14070959002,False
2026-01-22,2026-01-23,264,263,16,12,6,6,6,0.22648506591267328,0.02804573477645851,-0.022681182240135822,93779.7419950957,False
2026-01-23,2026-01-26,262,261,8,5,2,2,2,0.2326233183856502,0.029856920980863556,-0.023350812455492975,91589.9088276437,False
2026-01-26,2026-01-27,264,264,7,4,2,2,2,0.17096182638046054,0.0397517303757883,-0.02949082450245538,88888.84690021176,False
2026-01-28,2026-01-29,263,263,9,6,3,3,3,0.21466516293622026,0.03671633064813895,-0.028473329789119206,86357.88544784751,False
2026-01-29,2026-01-30,264,264,4,2,1,1,1,0.2568578553615959,0.049318167915978844,0.02777777777777768,88756.7155991766,False
2026-01-30,2026-02-02,263,263,4,3,1,1,1,0.17460317460317443,0.039943501536053756,-0.05019305019305009,84301.74531813686,False
2026-02-02,2026-02-03,263,263,2,2,1,1,1,0.16417910447761197,0.03747733378687047,0.004273504273504258,84662.00918701779,False
2026-02-10,2026-02-11,264,264,4,2,1,1,1,0.20819112627986347,0.03518897426215982,-0.016949152542372947,83227.05987876325,False
2026-02-11,2026-02-23,264,264,4,3,1,1,1,0.18328840970350413,0.036088779305130644,-0.009111617312072884,82468.72675913898,False
2026-02-23,2026-02-24,264,264,6,2,1,1,1,0.17491749174917492,0.04185844848818693,-0.002808988764045006,82237.07303228746,False
2026-02-24,2026-02-25,264,264,16,5,2,2,2,0.1775417043014178,0.02183144362424254,-0.0033529564399468192,81961.33570866147,False
2026-02-25,2026-02-26,264,264,17,9,4,4,4,0.17739548380338083,0.034770633963034925,0.02461486984531211,83978.8033194781,False
2026-02-26,2026-03-02,264,264,17,11,5,5,5,0.2180436909928646,0.03711120923209128,0.011056260995517708,84907.2948870695,False
2026-03-02,2026-03-03,264,264,16,6,3,3,3,0.17116227491810107,0.041541013534644324,-0.0287934107929599,82462.52426606712,False
2026-03-03,2026-03-04,264,264,7,6,3,3,3,0.3066336685926898,0.0569491362108655,-0.06846985490536646,76816.32719443925,False
2026-03-04,2026-03-05,264,264,5,4,2,2,2,0.15976179707523008,0.040485214878872085,-0.008770848278335741,76142.58284331782,False
2026-03-05,2026-03-06,264,264,4,3,1,1,1,0.1757142857142857,0.02000775407666577,0.09963547995139743,83729.08562965084,False
2026-03-12,2026-03-13,264,264,5,2,1,1,1,0.21134020618556715,0.05489863088591824,0.008510638297872353,84441.67359245638,False
2026-03-13,2026-03-16,264,264,3,2,1,1,1,0.18055555555555558,0.053843154217328965,-0.027807486631016065,82093.56288293353,False
2026-03-16,2026-03-17,264,264,20,7,3,3,3,0.21874037556206707,0.037627083384696274,0.046427045029579984,85904.92442353815,False
2026-03-17,2026-03-18,264,264,14,9,4,4,4,0.20621051392196332,0.026507272450441422,0.02715519976647377,88237.68980718317,False
2026-03-18,2026-03-19,264,264,11,4,2,2,2,0.19169404614555874,0.043972930296748786,0.028238702201622334,90729.40765260735,False
2026-03-19,2026-03-20,264,264,10,5,2,2,2,0.312706910821436,0.03981354693670592,-0.049406757409824476,86246.7618187779,False
2026-03-20,2026-03-23,264,264,12,6,3,3,3,0.2971955313675656,0.03928427745893442,-0.08485544950812043,78928.25407602571,False
2026-03-23,2026-03-24,264,264,9,4,2,2,2,0.20124426582227095,0.07407902061015162,-0.042496090613245385,75574.11183886566,False
2026-03-24,2026-03-25,263,263,5,4,2,2,2,0.23121647715082594,0.05596526856416778,-0.07524433427762034,69887.5881049278,False
2026-03-25,2026-03-26,264,264,2,2,1,1,1,0.2530120481927711,0.05438134476714657,0.09615384615384626,76607.5484996324,False
2026-03-30,2026-03-31,265,264,7,3,1,1,1,0.19119351100811133,0.04348401510560861,-0.0077821011673151474,76011.38080702825,False
2026-03-31,2026-04-01,265,264,8,7,3,3,3,0.2026394921483461,0.05183342373083898,0.038618691990902954,78946.8409102181,False
2026-04-01,2026-04-02,265,264,7,5,2,2,2,0.18525027808676298,0.04852109007297463,-0.01906718569780852,77441.54683432763,False
2026-01-09,,262,0,0,0,0,0,0,,,0.0,100000.0,True
2026-01-12,,263,0,0,0,0,0,0,,,0.0,100000.0,True
2026-01-13,,263,0,0,0,0,0,0,,,0.0,100000.0,True
2026-01-14,,263,0,0,0,0,0,0,,,0.0,100000.0,True
2026-01-15,,264,0,0,0,0,0,0,,,0.0,100000.0,True
2026-01-27,,263,263,6,1,0,0,0,,,0.0,88888.84690021176,True
2026-02-03,,264,264,1,1,0,0,0,,,0.0,84662.00918701779,True
2026-02-05,,262,262,2,0,0,0,0,,,0.0,84662.00918701779,True
2026-02-06,,263,263,0,0,0,0,0,,,0.0,84662.00918701779,True
2026-02-09,,261,261,3,1,0,0,0,,,0.0,84662.00918701779,True
2026-03-06,,264,264,2,0,0,0,0,,,0.0,83729.08562965084,True
2026-03-09,,264,264,6,1,0,0,0,,,0.0,83729.08562965084,True
2026-03-10,,264,264,0,0,0,0,0,,,0.0,83729.08562965084,True
2026-03-11,,263,263,4,1,0,0,0,,,0.0,83729.08562965084,True
2026-03-26,,264,263,2,0,0,0,0,,,0.0,76607.5484996324,True
2026-03-27,,264,263,4,0,0,0,0,,,0.0,76607.5484996324,True
2026-04-02,,265,265,3,1,0,0,0,,,0.0,77441.54683432763,True
2026-04-07,,264,264,2,1,0,0,0,,,0.0,77441.54683432763,True
2026-04-08,,263,263,3,0,0,0,0,,,0.0,77441.54683432763,True
2026-04-09,,263,263,10,7,3,0,0,,,0.0,77441.54683432763,True
