trade_date,daily_ret,holdings,gross_exposure,nav,cum_return,drawdown
2026-01-19,0.011529889382858571,9,0.3499999999999993,101152.98893828585,0.011529889382858594,0.0
2026-01-20,-0.0036206528179200995,10,0.3499999999999995,100786.74908384541,0.007867490838454172,-0.0036206528179201225
2026-01-21,0.0019273854768230426,9,0.3499999999999995,100981.00400028584,0.009810040002858456,-0.0017002457347546907
2026-01-22,-0.01536710373824345,9,0.34999999999999953,99429.21843622148,-0.0057078156377852185,-0.017041221620411662
2026-01-23,-0.004855151872764999,8,0.3499999999999993,98946.4744801233,-0.010535255198766968,-0.021813635774111995
2026-01-26,-0.0024713504702023,10,0.3499999999999993,98701.94306389199,-0.012980569361080163,-0.024231077105287158
2026-01-27,0.0012469408447848215,11,0.3499999999999995,98825.01854815798,-0.011749814518420165,-0.023014350980258058
2026-01-28,-0.010511459970112158,12,0.3499999999999994,97786.22332164343,-0.022137766783565715,-0.03328389652130315
2026-01-29,-0.009076382805036101,8,0.3499999999999994,96898.67812571744,-0.031013218742825588,-0.04205818194026867
2026-01-30,-0.0007372073437391824,10,0.3499999999999994,96827.24370860455,-0.03172756291395451,-0.04276438368341706
2026-02-02,-0.0109712330436633,10,0.3499999999999994,95764.92945290187,-0.0423507054709813,-0.053266438707721075
2026-02-03,-0.0013248730016954396,10,0.3499999999999995,95638.05308336046,-0.043619469166395475,-0.054520740442876026
2026-02-05,0.0003600634908503999,9,0.34999999999999953,95672.48885461179,-0.043275111453882076,-0.05418030788015327
2026-02-06,-0.0006844305724183114,9,0.3499999999999996,95607.00767830035,-0.043929923216996514,-0.05482765579343529
2026-02-09,0.006184133871936635,10,0.3499999999999994,96198.25421287824,-0.038017457871217575,-0.04898258348480966
2026-02-10,0.0057367834863504,8,0.7999999999999996,96750.12276906241,-0.03249877230937592,-0.04352680247451379
2026-02-11,-0.0031530575646797226,10,0.7999999999999996,96445.06406258172,-0.0355493593741828,-0.04654261752538502
2026-02-23,0.014728468548561698,11,0.7999999999999995,97865.55215529149,-0.02134447844708509,-0.032499650455213525
2026-02-24,0.005256413406361324,10,0.7999999999999995,98379.97395566151,-0.01620026044338485,-0.02741406864720708
2026-02-25,0.0017505175141267002,8,0.7999999999999994,98552.18982311022,-0.014478101768897744,-0.02571153994038078
2026-02-26,0.006540319977991101,9,0.7999999999999996,99196.7526790851,-0.008032473209149016,-0.019339381660726462
2026-03-02,0.0421113582772663,9,0.7999999999999993,103374.06267109544,0.03374062671095435,0.0
2026-03-03,-0.0029592273323539283,9,0.8,103068.15531938267,0.030681553193826705,-0.0029592273323538754
2026-03-04,-0.0307680777970968,10,0.7999999999999996,99896.94629811266,-0.0010305370188734564,-0.033636255392669456
2026-03-05,0.0009550723946692269,8,0.3499999999999994,99992.35511383374,-7.644886166269238e-05,-0.0327133080569858
2026-03-06,0.04663182482873098,9,0.7999999999999995,104655.18110171428,0.046551811017142786,0.0
2026-03-09,-0.022062419807815,8,0.7999999999999994,102346.23456118535,0.023462345611853452,-0.02206241980781498
2026-03-10,-0.01659092388770703,12,0.3499999999999993,100648.21597338731,0.006482159733873116,-0.03828730776771194
2026-03-11,0.011050964425339472,10,0.34999999999999926,101760.4758275831,0.017604758275830967,-0.02765945501845546
2026-03-12,-0.0027492610037781052,10,0.7999999999999995,101480.7097196644,0.014807097196644081,-0.030332672961165708
2026-03-13,0.005154285150761899,9,0.7999999999999996,102003.77023486127,0.020037702348612685,-0.025334731056230297
2026-03-16,0.0111543034335864,9,0.7999999999999992,103141.55123943074,0.0314155123943074,-0.014463018900253366
2026-03-17,0.030097480877400183,8,0.7999999999999995,106245.85210552489,0.06245852105524885,0.0
2026-03-18,0.0294066484797068,8,0.7999999999999995,109370.18653081897,0.0937018653081898,0.0
2026-03-19,0.0030448347495830937,10,0.7999999999999996,109703.20067533641,0.0970320067533641,0.0
2026-03-20,0.015200846904008553,10,0.7999999999999996,111370.78223368194,0.11370782233681931,0.0
2026-03-23,-0.042159955835662996,8,0.7999999999999994,106675.39497332665,0.06675394973326654,-0.04215995583566312
2026-03-24,-0.012948484439513769,10,0.7999999999999996,105294.11028143554,0.05294110281435538,-0.054562532743068326
2026-03-25,-0.015133703185253275,10,0.7999999999999993,103700.62046928097,0.037006204692809685,-0.0688705027527523
2026-03-26,0.019340235925247456,11,0.7999999999999996,105706.2149347514,0.05706214934751408,-0.050862238599033494
2026-03-27,0.041959763810436174,11,0.7999999999999995,110141.62274670877,0.10141622746708778,-0.011036642307082789
2026-03-30,0.06253708025970989,10,0.7999999999999993,117029.5582483544,0.17029558248354393,0.0
2026-03-31,-0.0356249195911213,9,0.7999999999999994,112860.38964597232,0.12860389645972314,-0.03562491959112135
2026-04-01,0.0025980565298272,11,0.34999999999999953,113153.60731825086,0.1315360731825086,-0.033119418616262664
2026-04-02,0.005588669802054085,12,0.7999999999999994,113785.98546646386,0.13785985466463857,-0.027715842308890792
2026-04-07,-0.004235984427086043,10,0.3499999999999994,113303.98980400726,0.13303989804007266,-0.03183442285957294
2026-04-08,-0.0021758611714178134,10,0.7999999999999992,113057.45605202601,0.13057456052026017,-0.03394101674637606
2026-04-09,-0.009326575780253801,10,0.7999999999999995,112003.01712063409,0.12003017120634096,-0.0429510390618858
